"filename", "language", "CSS", "JavaScript", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\Ken\NSSWorkspace\foundations\inclass\CAPSTONE---Bleuprint\.eslintrc.js", "JavaScript", 0, 45, 0, 0, 0, 0, 45
"c:\Users\Ken\NSSWorkspace\foundations\inclass\CAPSTONE---Bleuprint\README.md", "Markdown", 0, 0, 46, 0, 0, 17, 63
"c:\Users\Ken\NSSWorkspace\foundations\inclass\CAPSTONE---Bleuprint\api\digitalAssets.js", "JavaScript", 0, 384, 0, 0, 0, 28, 412
"c:\Users\Ken\NSSWorkspace\foundations\inclass\CAPSTONE---Bleuprint\api\youTubeAPI.js", "JavaScript", 0, 15, 0, 0, 18, 3, 36
"c:\Users\Ken\NSSWorkspace\foundations\inclass\CAPSTONE---Bleuprint\components\CartProducts.js", "JavaScript", 0, 109, 0, 0, 1, 6, 116
"c:\Users\Ken\NSSWorkspace\foundations\inclass\CAPSTONE---Bleuprint\components\ConfirmCards.js", "JavaScript", 0, 106, 0, 0, 1, 6, 113
"c:\Users\Ken\NSSWorkspace\foundations\inclass\CAPSTONE---Bleuprint\components\Expenses.js", "JavaScript", 0, 138, 0, 0, 1, 8, 147
"c:\Users\Ken\NSSWorkspace\foundations\inclass\CAPSTONE---Bleuprint\components\FilterBar.js", "JavaScript", 0, 125, 0, 0, 2, 9, 136
"c:\Users\Ken\NSSWorkspace\foundations\inclass\CAPSTONE---Bleuprint\components\FinTechCard.js", "JavaScript", 0, 106, 0, 0, 1, 8, 115
"c:\Users\Ken\NSSWorkspace\foundations\inclass\CAPSTONE---Bleuprint\components\LibraryCard.js", "JavaScript", 0, 63, 0, 0, 0, 3, 66
"c:\Users\Ken\NSSWorkspace\foundations\inclass\CAPSTONE---Bleuprint\components\Loading.js", "JavaScript", 0, 18, 0, 0, 0, 2, 20
"c:\Users\Ken\NSSWorkspace\foundations\inclass\CAPSTONE---Bleuprint\components\MyProductCards.js", "JavaScript", 0, 92, 0, 0, 1, 8, 101
"c:\Users\Ken\NSSWorkspace\foundations\inclass\CAPSTONE---Bleuprint\components\NavBarAuth.js", "JavaScript", 0, 59, 0, 0, 1, 2, 62
"c:\Users\Ken\NSSWorkspace\foundations\inclass\CAPSTONE---Bleuprint\components\NavBarCustomer.js", "JavaScript", 0, 62, 0, 0, 1, 2, 65
"c:\Users\Ken\NSSWorkspace\foundations\inclass\CAPSTONE---Bleuprint\components\NoAuth.js", "JavaScript", 0, 16, 0, 0, 2, 4, 22
"c:\Users\Ken\NSSWorkspace\foundations\inclass\CAPSTONE---Bleuprint\components\OrderSummCard.js", "JavaScript", 0, 78, 0, 0, 1, 6, 85
"c:\Users\Ken\NSSWorkspace\foundations\inclass\CAPSTONE---Bleuprint\components\ProductCard.js", "JavaScript", 0, 57, 0, 0, 1, 4, 62
"c:\Users\Ken\NSSWorkspace\foundations\inclass\CAPSTONE---Bleuprint\components\Signin.js", "JavaScript", 0, 30, 0, 0, 1, 3, 34
"c:\Users\Ken\NSSWorkspace\foundations\inclass\CAPSTONE---Bleuprint\components\TotalRevenue.js", "JavaScript", 0, 56, 0, 0, 1, 8, 65
"c:\Users\Ken\NSSWorkspace\foundations\inclass\CAPSTONE---Bleuprint\components\UserProfile.js", "JavaScript", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ken\NSSWorkspace\foundations\inclass\CAPSTONE---Bleuprint\components\createAssetForm.js", "JavaScript", 0, 160, 0, 0, 0, 18, 178
"c:\Users\Ken\NSSWorkspace\foundations\inclass\CAPSTONE---Bleuprint\next.config.js", "JavaScript", 0, 4, 0, 0, 1, 1, 6
"c:\Users\Ken\NSSWorkspace\foundations\inclass\CAPSTONE---Bleuprint\package.json", "JSON", 0, 0, 0, 47, 0, 1, 48
"c:\Users\Ken\NSSWorkspace\foundations\inclass\CAPSTONE---Bleuprint\pages\Confirmation.js", "JavaScript", 0, 76, 0, 0, 1, 6, 83
"c:\Users\Ken\NSSWorkspace\foundations\inclass\CAPSTONE---Bleuprint\pages\Manageproducts\[firebaseKey].js", "JavaScript", 0, 214, 0, 0, 2, 13, 229
"c:\Users\Ken\NSSWorkspace\foundations\inclass\CAPSTONE---Bleuprint\pages\Manageproducts\edit\[firebaseKey].js", "JavaScript", 0, 15, 0, 0, 0, 4, 19
"c:\Users\Ken\NSSWorkspace\foundations\inclass\CAPSTONE---Bleuprint\pages\Manageproducts\new.js", "JavaScript", 0, 7, 0, 0, 0, 2, 9
"c:\Users\Ken\NSSWorkspace\foundations\inclass\CAPSTONE---Bleuprint\pages\MyCart.js", "JavaScript", 0, 125, 0, 0, 1, 7, 133
"c:\Users\Ken\NSSWorkspace\foundations\inclass\CAPSTONE---Bleuprint\pages\MyLibrary.js", "JavaScript", 0, 28, 0, 0, 1, 5, 34
"c:\Users\Ken\NSSWorkspace\foundations\inclass\CAPSTONE---Bleuprint\pages\MyProducts.js", "JavaScript", 0, 35, 0, 0, 1, 5, 41
"c:\Users\Ken\NSSWorkspace\foundations\inclass\CAPSTONE---Bleuprint\pages\_app.js", "JavaScript", 0, 18, 0, 0, 6, 3, 27
"c:\Users\Ken\NSSWorkspace\foundations\inclass\CAPSTONE---Bleuprint\pages\finance\[firebaseKey].js", "JavaScript", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ken\NSSWorkspace\foundations\inclass\CAPSTONE---Bleuprint\pages\finance\overview.js", "JavaScript", 0, 91, 0, 0, 5, 14, 110
"c:\Users\Ken\NSSWorkspace\foundations\inclass\CAPSTONE---Bleuprint\pages\index.js", "JavaScript", 0, 7, 0, 0, 8, 3, 18
"c:\Users\Ken\NSSWorkspace\foundations\inclass\CAPSTONE---Bleuprint\styles\App.css", "CSS", 247, 0, 0, 0, 0, 39, 286
"c:\Users\Ken\NSSWorkspace\foundations\inclass\CAPSTONE---Bleuprint\styles\globals.css", "CSS", 21, 0, 0, 0, 0, 6, 27
"c:\Users\Ken\NSSWorkspace\foundations\inclass\CAPSTONE---Bleuprint\utils\ViewDirector.js", "JavaScript", 0, 31, 0, 0, 2, 7, 40
"c:\Users\Ken\NSSWorkspace\foundations\inclass\CAPSTONE---Bleuprint\utils\auth.js", "JavaScript", 0, 10, 0, 0, 0, 4, 14
"c:\Users\Ken\NSSWorkspace\foundations\inclass\CAPSTONE---Bleuprint\utils\client.js", "JavaScript", 0, 16, 0, 0, 0, 4, 20
"c:\Users\Ken\NSSWorkspace\foundations\inclass\CAPSTONE---Bleuprint\utils\context\authContext.js", "JavaScript", 0, 39, 0, 0, 7, 12, 58
"Total", "-", 268, 2435, 46, 47, 68, 283, 3147